analysis:bT1, h:0, CPUtime:103354.7 in seconds
analysis:net1_snaq, h:1, CPUtime:11648.9 in seconds
analysis:newtry1, h:1, CPUtime:88579.3 in seconds
analysis:temtest1_snaq, h:1, CPUtime:16688.0 in seconds
analysis:temtest2_snaq, h:1, CPUtime:37137.9 in seconds
analysis:timetest3_snaq, h:1, CPUtime:12630.9 in seconds
analysis:timetest4_snaq, h:1, CPUtime:21942.3 in seconds
analysis:timetest5_snaq, h:1, CPUtime:23949.3 in seconds
analysis:timetest6_snaq, h:1, CPUtime:39287.7 in seconds
analysis:timetest7_snaq, h:1, CPUtime:29822.1 in seconds
analysis:timetest8_snaq, h:1, CPUtime:51589.3 in seconds
analysis:timetest9_snaq, h:1, CPUtime:34831.4 in seconds
analysis:timetest10_snaq, h:1, CPUtime:29394.4 in seconds
analysis:timetest11_snaq, h:1, CPUtime:67926.5 in seconds
analysis:timetest12_snaq, h:1, CPUtime:18935.6 in seconds
analysis:timetest13_snaq, h:1, CPUtime:31456.9 in seconds
